% Model,CPWG_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 19 2025, 21:38"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,0.032000000000000126,0.434870230780992,6869.0058305681705,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.042000000000000044,0.4207688117594904,6148.513336891054,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.052000000000000074,0.40788389915812245,5561.463656518765,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.0620000000000001,0.39791284675103866,5144.826496986461,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.07200000000000012,0.3876213020972249,4763.05169300015,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.08200000000000005,0.37782964667315927,4415.9988542708725,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.09200000000000007,0.36986743469906136,4158.522385493881,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.10200000000000009,0.362231070448034,3930.478196106718,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.11200000000000013,0.3535827554268873,3675.412729679631,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.12200000000000015,0.3464811722725157,3479.598048963942,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.13200000000000006,0.33971505467494717,3303.0581178293073,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.1420000000000001,0.33307605207735,3129.5320299749155,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.1520000000000001,0.3263743920572023,2962.962258109435,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.16200000000000014,0.3201130043374348,2816.5754048750755,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
