%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
5.206 GHz,0.159 / -168.962 ,0.300 / -76.037 ,0.300 / -76.037 ,0.130 / -86.569 
5.216 GHz,0.141 / -170.668 ,0.348 / -73.695 ,0.348 / -73.695 ,0.119 / -91.209 
5.226 GHz,0.124 / -170.501 ,0.400 / -74.018 ,0.400 / -74.018 ,0.107 / -95.320 
5.236 GHz,0.110 / -168.530 ,0.453 / -76.233 ,0.453 / -76.233 ,0.094 / -98.764 
5.246 GHz,0.100 / -165.139 ,0.504 / -79.761 ,0.504 / -79.761 ,0.082 / -101.294 
5.256 GHz,0.093 / -160.855 ,0.551 / -84.204 ,0.551 / -84.204 ,0.069 / -102.388 
5.266 GHz,0.088 / -156.006 ,0.593 / -89.289 ,0.593 / -89.289 ,0.056 / -100.870 
5.276 GHz,0.084 / -150.548 ,0.628 / -94.828 ,0.628 / -94.828 ,0.044 / -94.116 
5.286 GHz,0.083 / -144.315 ,0.655 / -100.686 ,0.655 / -100.686 ,0.035 / -77.625 
5.296 GHz,0.085 / -137.579 ,0.674 / -106.762 ,0.674 / -106.762 ,0.035 / -52.818 
5.307 GHz,0.091 / -131.394 ,0.684 / -112.969 ,0.684 / -112.969 ,0.046 / -34.885 
5.317 GHz,0.102 / -127.125 ,0.685 / -119.231 ,0.685 / -119.231 ,0.062 / -28.429 
5.327 GHz,0.116 / -125.572 ,0.676 / -125.463 ,0.676 / -125.463 ,0.082 / -28.903 
5.337 GHz,0.132 / -126.727 ,0.657 / -131.570 ,0.657 / -131.570 ,0.102 / -33.084 
5.347 GHz,0.148 / -130.139 ,0.629 / -137.436 ,0.629 / -137.436 ,0.122 / -39.380 
5.357 GHz,0.162 / -135.264 ,0.593 / -142.918 ,0.593 / -142.918 ,0.141 / -46.968 
5.367 GHz,0.172 / -141.618 ,0.551 / -147.843 ,0.551 / -147.843 ,0.157 / -55.379 
5.377 GHz,0.179 / -148.817 ,0.503 / -151.990 ,0.503 / -151.990 ,0.169 / -64.315 
5.387 GHz,0.180 / -156.557 ,0.453 / -155.075 ,0.453 / -155.075 ,0.178 / -73.572 
5.397 GHz,0.176 / -164.601 ,0.402 / -156.730 ,0.402 / -156.730 ,0.183 / -83.010 
5.407 GHz,0.168 / -172.748 ,0.354 / -156.483 ,0.354 / -156.483 ,0.184 / -92.527 
5.417 GHz,0.154 / 179.190 ,0.312 / -153.808 ,0.312 / -153.808 ,0.181 / -102.047 
5.427 GHz,0.137 / 171.427 ,0.281 / -148.370 ,0.281 / -148.370 ,0.174 / -111.508 
5.437 GHz,0.116 / 164.269 ,0.266 / -140.593 ,0.266 / -140.593 ,0.163 / -120.850 
5.447 GHz,0.094 / 158.253 ,0.269 / -132.082 ,0.269 / -132.082 ,0.150 / -129.997 
5.457 GHz,0.071 / 154.500 ,0.289 / -124.925 ,0.289 / -124.925 ,0.134 / -138.836 
5.467 GHz,0.049 / 155.786 ,0.324 / -120.361 ,0.324 / -120.361 ,0.116 / -147.177 
5.477 GHz,0.031 / 169.679 ,0.368 / -118.501 ,0.368 / -118.501 ,0.096 / -154.684 
5.487 GHz,0.025 / -155.754 ,0.416 / -118.900 ,0.416 / -118.900 ,0.076 / -160.722 
5.497 GHz,0.032 / -129.012 ,0.467 / -121.029 ,0.467 / -121.029 ,0.057 / -163.986 
5.508 GHz,0.043 / -120.181 ,0.515 / -124.438 ,0.515 / -124.438 ,0.040 / -161.549 
5.518 GHz,0.051 / -118.149 ,0.560 / -128.779 ,0.560 / -128.779 ,0.028 / -147.400 
5.528 GHz,0.058 / -117.662 ,0.600 / -133.785 ,0.600 / -133.785 ,0.024 / -120.363 
5.538 GHz,0.062 / -116.549 ,0.632 / -139.249 ,0.632 / -139.249 ,0.029 / -100.170 
5.548 GHz,0.065 / -114.052 ,0.656 / -145.010 ,0.656 / -145.010 ,0.036 / -92.840 
5.558 GHz,0.071 / -110.637 ,0.672 / -150.945 ,0.672 / -150.945 ,0.043 / -91.932 
5.568 GHz,0.079 / -107.693 ,0.678 / -156.959 ,0.678 / -156.959 ,0.048 / -93.653 
