% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 13 2025, 11:19"
% Table,Table 24 - Global Evaluation 1
% MS_W (mm),MUT_Er,freq (GHz),S11 (1),S21 (1)
1.2,1.00234536385658,5,-0.12159513118268706+0.05806867151666205i,-0.42623693510807825-0.8939627527932519i
1.2,1.00324996276642,5,-0.12162979471220883+0.05809730916707675i,-0.4263067591226971-0.8939228862178107i
1.2,1.00415510694717,5,-0.1216644680480206+0.05812596566433019i,-0.4263766132464619-0.8938829934190066i
1.2,1.00506079689202,5,-0.12169915144348967+0.05815464034062166i,-0.426446497848387-0.8938430741526456i
1.2,1.00596703309471,5,-0.12173384518437977+0.0581833342343173i,-0.4265164119434874-0.893803128199646i
1.2,1.00687381604959,5,-0.12176854882982227+0.058212046476126836i,-0.42658635661450955-0.8937631558221085i
1.2,1.00778114625163,5,-0.12180326252175852+0.05824077740373521i,-0.4266563314523896-0.8937231568957229i
1.2,1.00868902419636,5,-0.12183798630757518+0.058269527022303626i,-0.42672633656955644-0.8936831313979925i
1.2,1.00959745037993,5,-0.12187272003891732+0.05829829503506108i,-0.4267963722581219-0.8936430793981247i
1.2,1.01871197493415,5,-0.12222061291680789+0.05858701003855453i,-0.42749839363028885-0.8932410905376464i
1.2,1.02788187361308,5,-0.12256951459197954+0.05887761233226139i,-0.4282034623087566-0.8928364158297271i
1.2,1.03710765258186,5,-0.12291942707083887+0.05917011860765474i,-0.4289115979579591-0.892429030371661i
1.2,1.04638982419353,5,-0.12327035245591685+0.0594645454151155i,-0.4296228209113052-0.8920189086753512i
1.2,1.05572890708386,5,-0.12362229242308356+0.05976090966344253i,-0.43033715142135404-0.8916060254047047i
1.2,1.06512542626792,5,-0.12397524893396436+0.060059228269754794i,-0.43105461015363733-0.8911903546670731i
1.2,1.0745799132385,5,-0.12432922324328732+0.06035951882299577i,-0.4317752177226897-0.8907718707098724i
1.2,1.08409290606633,5,-0.1246842175970663+0.06066179827164162i,-0.4324989952075847-0.8903505466465969i
1.2,1.09366494950212,5,-0.1250402333198501+0.060966084545228214i,-0.43322596375022987-0.8899263560563597i
1.5600000000000003,1.00053779988,5,-0.2531012338928414+0.12254033409679384i,-0.41776306601276386-0.8633249058163978i
1.5600000000000003,1.00053789020379,5,-0.25310123590582184+0.12254033719096494i,-0.4177630714622283-0.8633249021478091i
1.5600000000000003,1.00053798052758,5,-0.25310123792324946+0.12254034028314971i,-0.41776307692267045-0.8633248984812086i
1.5600000000000003,1.00053807085138,5,-0.2531012399355485+0.12254034338398648i,-0.41776308237727094-0.8633248948143735i
1.5600000000000003,1.00053816117519,5,-0.25310124195262784+0.12254034647789722i,-0.4177630878257079-0.8633248911431123i
1.5600000000000003,1.000538251499,5,-0.25310124397261485+0.1225403495771296i,-0.41776309328832184-0.8633248874681604i
1.5600000000000003,1.00053834182282,5,-0.2531012459827771+0.12254035266576928i,-0.41776309872921286-0.8633248838071472i
1.5600000000000003,1.00053843214664,5,-0.2531012479914788+0.12254035577009544i,-0.4177631041847449-0.8633248801382155i
1.5600000000000003,1.00053852247047,5,-0.2531012500195609+0.12254035887071073i,-0.41776310965512853-0.8633248764666105i
1.5600000000000003,1.0005386127943,5,-0.25310125202564243+0.12254036194923024i,-0.41776311509636643-0.8633248728058082i
1.5600000000000003,1.00062812638563,5,-0.2531032492569996+0.12254343145279836i,-0.4177685205597689-0.8633212369369844i
1.5600000000000003,1.0007184583297,5,-0.253105264662532+0.12254652899396315i,-0.41777397536549704-0.8633175678295958i
1.5600000000000003,1.00080879571271,5,-0.2531072801162608+0.12254962670811545i,-0.4177794303983238-0.8633138985065723i
1.5600000000000003,1.00089913853514,5,-0.25310929559712025+0.1225527246039472i,-0.4177848856679268-0.8633102289692911i
1.5600000000000003,1.00098948679748,5,-0.25311131112281265+0.12255582264803067i,-0.417790341171175-0.8633065592183142i
1.5600000000000003,1.00107984050023,5,-0.25311332668924297+0.12255892087090273i,-0.4177957969120142-0.8633028892491215i
1.5600000000000003,1.00117019964387,5,-0.25311534230106103+0.12256201928269886i,-0.41780125291430625-0.8632992190516363i
1.5600000000000003,1.0012605642289,5,-0.2531173579467138+0.12256511785356528i,-0.4178067091182104-0.8632955486475066i
1.5600000000000003,1.00135093425582,5,-0.25311937363069986+0.12256821658394453i,-0.4178121655839476-0.8632918780238468i
1.5600000000000003,1.0014413097251,5,-0.2531213893555536+0.12257131551391502i,-0.4178176222944777-0.8632882071875432i
1.5600000000000003,1.00234536385658,5,-0.253141548837973+0.12260231413918535i,-0.4178722024114439-0.8632514868040324i
1.5600000000000003,1.00324996276642,5,-0.25316171231785745+0.12263332998106477i,-0.41792680635426016-0.8632147446743579i
1.5600000000000003,1.00415510694717,5,-0.2531818798039677+0.12266436307376742i,-0.41798143418036515-0.8631779807521603i
