%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
4.691 GHz,0.176 / -60.131 ,0.751 / 9.063 ,0.751 / 9.063 ,0.108 / -106.528 
4.694 GHz,0.186 / -61.507 ,0.752 / 6.874 ,0.752 / 6.874 ,0.111 / -114.920 
4.698 GHz,0.196 / -63.016 ,0.753 / 4.690 ,0.753 / 4.690 ,0.115 / -123.039 
4.701 GHz,0.205 / -64.612 ,0.752 / 2.511 ,0.752 / 2.511 ,0.119 / -130.847 
4.705 GHz,0.213 / -66.256 ,0.751 / 0.338 ,0.751 / 0.338 ,0.124 / -138.325 
4.708 GHz,0.220 / -67.915 ,0.748 / -1.826 ,0.748 / -1.826 ,0.129 / -145.470 
4.712 GHz,0.227 / -69.566 ,0.745 / -3.982 ,0.745 / -3.982 ,0.135 / -152.289 
4.715 GHz,0.233 / -71.185 ,0.740 / -6.129 ,0.740 / -6.129 ,0.141 / -158.798 
4.719 GHz,0.239 / -72.757 ,0.735 / -8.264 ,0.735 / -8.264 ,0.147 / -165.016 
4.722 GHz,0.245 / -74.266 ,0.729 / -10.388 ,0.729 / -10.388 ,0.153 / -170.965 
4.725 GHz,0.249 / -75.468 ,0.724 / -12.148 ,0.724 / -12.148 ,0.159 / -175.734 
4.728 GHz,0.253 / -76.612 ,0.717 / -13.900 ,0.717 / -13.900 ,0.164 / 179.656 
4.731 GHz,0.256 / -77.695 ,0.710 / -15.642 ,0.710 / -15.642 ,0.170 / 175.192 
4.734 GHz,0.260 / -78.717 ,0.703 / -17.375 ,0.703 / -17.375 ,0.175 / 170.863 
4.737 GHz,0.263 / -79.679 ,0.695 / -19.101 ,0.695 / -19.101 ,0.181 / 166.656 
4.740 GHz,0.267 / -80.587 ,0.687 / -20.821 ,0.687 / -20.821 ,0.186 / 162.561 
4.742 GHz,0.271 / -81.451 ,0.678 / -22.536 ,0.678 / -22.536 ,0.191 / 158.568 
4.745 GHz,0.275 / -82.282 ,0.669 / -24.249 ,0.669 / -24.249 ,0.197 / 154.667 
4.748 GHz,0.279 / -83.100 ,0.659 / -25.962 ,0.659 / -25.962 ,0.202 / 150.849 
4.751 GHz,0.283 / -83.921 ,0.649 / -27.677 ,0.649 / -27.677 ,0.207 / 147.105 
4.754 GHz,0.288 / -84.765 ,0.638 / -29.396 ,0.638 / -29.396 ,0.212 / 143.428 
4.757 GHz,0.292 / -85.649 ,0.627 / -31.119 ,0.627 / -31.119 ,0.217 / 139.812 
4.760 GHz,0.297 / -86.584 ,0.615 / -32.845 ,0.615 / -32.845 ,0.221 / 136.251 
4.763 GHz,0.302 / -87.579 ,0.602 / -34.571 ,0.602 / -34.571 ,0.226 / 132.742 
4.766 GHz,0.307 / -88.633 ,0.589 / -36.295 ,0.589 / -36.295 ,0.230 / 129.282 
4.769 GHz,0.311 / -89.744 ,0.575 / -38.008 ,0.575 / -38.008 ,0.234 / 125.869 
4.771 GHz,0.315 / -90.901 ,0.560 / -39.704 ,0.560 / -39.704 ,0.238 / 122.503 
4.774 GHz,0.319 / -92.095 ,0.544 / -41.371 ,0.544 / -41.371 ,0.241 / 119.185 
